episode,provider,aggregator,step,reward,total reward,open,high,low,close,volume,position delta,position,balance,initial balance,time weighted return,rate of return,sharpe ratio,sortino ratio,calmar ratio
1,ETHUSDT@Binance(k),time@60,128,-0.24206760577493158,-17.52951613652383,3692.0,3692.0,3690.429931640625,3691.8798828125,238.48061084747314,-1,0,8398.707316921562,10000,-0.1584461606291021,1.7352578507561696,0.2190895972212883,0.3662625383841855,0.17554266690561032
2,ETHUSDT@Binance(k),time@60,128,-0.25524698615441155,-17.258053233327395,3003.97998046875,3003.97998046875,3003.64990234375,3003.929931640625,112.24267768859863,-1,0,8421.675467041883,10000,0.002734724434800162,1.3941693996348137,0.2115272386375026,0.35281889166284114,0.17729628025641886
3,ETHUSDT@Binance(k),time@60,128,-0.24612356289586135,-17.8296290539564,3557.199951171875,3557.199951171875,3555.6201171875,3555.659912109375,129.0751438140869,-1,0,8373.462075355978,10000,-0.005724916838054983,1.6770116100925414,0.21572374602495206,0.360804213476512,0.17406188372208278
4,ETHUSDT@Binance(k),time@60,128,-0.24577805331240654,-18.096934356135073,3388.2352966308595,3391.5400390625,3387.0,3389.0,479.3501863479614,-1,0,8350.955044735643,10000,-0.0026879002278612507,1.5878076224801634,0.2182749238442226,0.36375574015133966,0.18126159057622585
5,ETHUSDT@Binance(k),time@60,128,-0.253534565780944,-14.239834313872912,3578.579089111328,3579.800048828125,3576.39990234375,3576.699951171875,361.8219738006592,-1,0,8678.557160846392,10000,0.03922929944608611,1.7115289207802735,0.22425393547620406,0.37477651891514957,0.1820596690206368
6,ETHUSDT@Binance(k),time@60,128,-0.17251926157416664,-18.0140340698193,4006.5143298339844,4014.969970703125,4002.31005859375,4012.530029296875,1377.521369934082,-1,0,8358.105761525774,10000,-0.036924501778514474,1.9218028805393417,0.2244597564366468,0.37553342790066896,0.1793452843450714
7,ETHUSDT@Binance(k),time@60,128,-0.2403190288608803,-17.393768441008238,3921.530029296875,3922.139892578125,3921.530029296875,3922.1298828125,542.0015664100647,-1,0,8410.204220078373,10000,0.006233285392537091,1.869611943338346,0.22387495355114875,0.37443007824080116,0.18025653966865662
8,ETHUSDT@Binance(k),time@60,128,-0.23135895611335888,-18.07676925134152,3913.2099609375,3915.830078125,3913.2099609375,3913.81005859375,298.20804023742676,-1,0,8352.846777768302,10000,-0.006819982108534961,1.8285319688622759,0.2227939835023726,0.3727155069618493,0.1772955617148189
9,ETHUSDT@Binance(k),time@60,128,-0.2184344055600973,-16.36826056815449,3138.0899946289064,3142.52001953125,3137.14990234375,3137.919921875,479.62585258483887,-1,0,8496.885916116204,10000,0.01724431707897245,1.4286532112999906,0.2134470068445025,0.3562802871542496,0.1768457944137357
10,ETHUSDT@Binance(k),time@60,128,-0.26306094496578725,-8.94767015041132,3875.14990234375,3875.14990234375,3872.60009765625,3873.0,432.8792767524719,-1,0,9131.893215357324,10000,0.07473412088971165,1.915529296754584,0.24215343624301697,0.4070925036746697,0.19674876252241535
11,ETHUSDT@Binance(k),time@60,128,-0.2637668237274404,-17.63875980911882,3978.199951171875,3978.199951171875,3974.590087890625,3978.0,454.1699914932251,-1,0,8389.490898969283,10000,-0.08129774394859601,1.8775714970018489,0.2189625192563367,0.36675723604323696,0.17284865887488865
12,ETHUSDT@Binance(k),time@60,128,-0.25932731425241107,-17.88776257707233,2222.7587996826173,2223.8701171875,2221.39990234375,2221.72998046875,390.68096351623535,-1,0,8368.718595783092,10000,-0.0024759909077136655,0.9909757232830336,0.20072418084840596,0.3322644791191033,0.1829064249957713
13,ETHUSDT@Binance(k),time@60,128,-0.2411261765243533,-19.00721638433353,2473.0,2473.010009765625,2473.0,2473.010009765625,38.62395703792572,-1,0,8274.412613464374,10000,-0.011268867657497905,1.1062288619231644,0.19573942142747247,0.3250831729764721,0.1711813634904598
14,ETHUSDT@Binance(k),time@60,128,-0.23619192109223253,-18.003447119929564,2982.389892578125,2985.9599609375,2982.389892578125,2983.18994140625,599.6849303245544,-1,0,8358.902765924664,10000,0.010211015138743118,1.3684943713326672,0.2092004925321362,0.34863519006334076,0.17568946787006098
15,ETHUSDT@Binance(k),time@60,128,-0.24023834404059974,-17.292040131970627,3253.647219482422,3256.7900390625,3252.010009765625,3255.0,223.86874198913574,-1,0,8418.731766324883,10000,0.0071575184058969565,1.5220911782695776,0.21747590155009408,0.3627974745419391,0.1814447233005244
16,ETHUSDT@Binance(k),time@60,128,-0.26723135577904067,-17.059597786035383,3401.4591472167967,3401.4591472167967,3399.89990234375,3399.909912109375,161.53292274475098,-1,0,8437.868761748337,10000,0.0022731446914607822,1.6021046725609813,0.21831954495656963,0.36421101237613446,0.17768765004293366
17,ETHUSDT@Binance(k),time@60,128,-0.2753336704861553,-17.485056744856468,3220.60009765625,3220.60009765625,3219.0,3219.010009765625,351.7341079711914,-1,0,8402.498996038736,10000,-0.004191789029706405,1.497812089853636,0.2172937785368826,0.36239111499109883,0.1812300248426411
18,ETHUSDT@Binance(k),time@60,128,-0.21383496052272966,-17.296258717788245,3265.669921875,3268.300048828125,3265.669921875,3267.14990234375,243.5262861251831,-1,0,8418.391037689536,10000,0.0018913470454797743,1.525120264860232,0.21518657487058604,0.35910552701135207,0.17717231207630005
19,ETHUSDT@Binance(k),time@60,128,-0.21491002618634347,-17.524083657687505,2315.949951171875,2317.0,2315.949951171875,2316.989990234375,303.40182304382324,-1,0,8399.313509183597,10000,-0.0022661727663305653,1.0264860862957608,0.19993577000969762,0.3315787826194112,0.1778175123232817
20,ETHUSDT@Binance(k),time@60,128,-0.22958011631526443,-17.201726864167888,2653.64990234375,2653.93994140625,2653.64990234375,2653.93994140625,101.38559579849243,-1,0,8426.416690906095,10000,0.003226832965915749,1.2081252307451236,0.21057344217785492,0.3499506702593884,0.1837622357868882
21,ETHUSDT@Binance(k),time@60,128,-0.26120581059364545,-17.430076590146005,3116.300048828125,3116.300048828125,3114.18994140625,3115.840087890625,60.477577805519104,-1,0,8407.153119046761,10000,-0.0022860929581288714,1.4382297059160574,0.21549489918496909,0.35921683637233304,0.18115610760874987
22,ETHUSDT@Binance(k),time@60,128,-0.15481166426981607,-17.17676011614303,3772.5369624023438,3777.590087890625,3770.64990234375,3777.580078125,533.7068023681641,-1,0,8428.336545405666,10000,0.002519690798888252,1.7904521094854742,0.2232955486583356,0.37347583706026416,0.18004100371561785
23,ETHUSDT@Binance(k),time@60,128,-0.28467746892326673,-28.243906809792474,2909.409912109375,2909.419921875,2909.409912109375,2909.419921875,124.68653869628906,-1,0,7511.262413309228,10000,-0.1088084377214793,1.2614543486590877,0.1804892058856802,0.29599530216952596,0.15086267685777932
24,ETHUSDT@Binance(k),time@60,128,-0.2599914872023934,-18.64691375164552,2888.2057998046876,2889.659912109375,2886.75,2888.0,185.18950748443604,-1,0,8305.275187520516,10000,0.10570963048826121,1.3251592588815309,0.2079179710521742,0.3461131125342107,0.1748607932440536
25,ETHUSDT@Binance(k),time@60,128,-0.19541653067410847,-17.136671862502112,3737.3298111572267,3743.56005859375,3737.0,3738.949951171875,404.89316177368164,-1,0,8431.917119953785,10000,0.0152483728201529,1.8002077679080664,0.22284483499196822,0.37266812227422796,0.18152519149373222
26,ETHUSDT@Binance(k),time@60,128,-0.21402774301773064,-17.339044126122673,2948.3340274658203,2948.820068359375,2948.3340274658203,2948.81005859375,288.4346008300781,-1,0,8414.88890386289,10000,-0.0020194951929251026,1.3637835691838722,0.21470391232191846,0.35763130295041046,0.18321301672947138
27,ETHUSDT@Binance(k),time@60,128,-0.23003431159274168,-17.24405786837401,3329.360107421875,3331.030029296875,3329.360107421875,3330.3701171875,70.83922386169434,-1,0,8422.870847512255,10000,0.0009485500926458279,1.5590359010605825,0.21867807974910847,0.3651205906729778,0.1818757831595341
28,ETHUSDT@Binance(k),time@60,128,-0.22849063892090848,-18.17681940814766,3011.510009765625,3014.110107421875,3011.510009765625,3012.919921875,233.2069606781006,-1,0,8344.518053506654,10000,-0.009302385780821987,1.384335696812942,0.21419848775304975,0.3565036842801819,0.18031818895829785
29,ETHUSDT@Binance(k),time@60,128,-0.28261160755038706,-18.01714022830857,3806.286891357422,3809.800048828125,3802.39990234375,3803.81005859375,393.0195758342743,-1,0,8357.707695535693,10000,0.001580635567502764,1.7732670239012462,0.2195004199719296,0.3671236414246831,0.17497418294832312
30,ETHUSDT@Binance(k),time@60,128,-0.26266944468985587,-17.731184139835396,3025.922674560547,3026.64990234375,3024.39990234375,3025.360107421875,136.9120810031891,-1,0,8381.900408403846,10000,0.0028946588884746216,1.3998361513245852,0.21492225581834457,0.3580518942980886,0.18175308973326643
31,ETHUSDT@Binance(k),time@60,128,-0.22239932500940363,-17.159403904275187,3038.530029296875,3039.800048828125,3038.530029296875,3039.7900390625,58.79797554016113,-1,0,8429.994174516065,10000,0.0057378116857604855,1.414126064004642,0.21112931859589862,0.3523080205055858,0.17618829527086605
32,ETHUSDT@Binance(k),time@60,128,-0.22434273506360958,-17.07884635531828,2468.719970703125,2469.6201171875,2468.719970703125,2469.330078125,303.22062158584595,-1,0,8436.829009257553,10000,0.0008107757372060043,1.122191211217015,0.2074361501074559,0.34437830041836964,0.18480818856210965
33,ETHUSDT@Binance(k),time@60,128,-0.23738081210203932,-17.20188244031863,2230.1449921875,2231.27001953125,2228.800048828125,2228.97998046875,226.6325535774231,-1,0,8426.45755838861,10000,-0.001229306752284165,0.9981675873175591,0.2025146536760885,0.3355356462464425,0.18491917624855214
34,ETHUSDT@Binance(k),time@60,128,-0.2256761638101179,-17.513153238737736,3062.0,3063.449951171875,3062.0,3063.43994140625,99.27672624588013,-1,0,8400.143466115616,10000,-0.0031227941386601232,1.418223704565389,0.21605449893403111,0.36006197786731997,0.18222323546709865
35,ETHUSDT@Binance(k),time@60,128,-0.2398449240662237,-17.591791077237534,2949.239990234375,2953.389892578125,2949.239990234375,2949.239990234375,860.9428062438965,-1,0,8393.561455295232,10000,-0.0007835593340674851,1.3526606758886714,0.21417304605138265,0.35656826335819847,0.18283115997738228
36,ETHUSDT@Binance(k),time@60,128,-0.20929428360608737,-16.740243358220695,2929.8750421142577,2932.43994140625,2928.080078125,2931.81005859375,293.94312143325806,-1,0,8465.479600567685,10000,0.00856825146935547,1.3574563379661502,0.2147506858188344,0.35784322262328544,0.18386823451796772
37,ETHUSDT@Binance(k),time@60,128,-0.2085176461020133,-19.408095692319993,3148.1442109375,3150.0,3146.570068359375,3149.35009765625,179.49037647247314,-1,0,8240.478402843517,10000,-0.026578671066561532,1.4453292309997505,0.2054683074585503,0.3430323483215124,0.1697683633258748
38,ETHUSDT@Binance(k),time@60,128,-0.2494410768308919,-17.289468417533953,3117.0716103515624,3118.6298828125,3114.4599609375,3114.4599609375,161.47636485099792,-1,0,8419.053159393954,10000,0.021670435601022442,1.4527469443389478,0.21300974080017815,0.3553170358595453,0.17681983416649713
39,ETHUSDT@Binance(k),time@60,128,-0.20013919320946982,-17.456644058199725,2908.0252083740234,2913.989990234375,2906.570068359375,2911.68994140625,471.14895272254944,-1,0,8404.926688699547,10000,-0.0016779167950311535,1.3743065195007609,0.21431684073828935,0.3568403193980824,0.18468237089257092
40,ETHUSDT@Binance(k),time@60,128,-0.23419808932472197,-18.015258237843813,3107.0,3107.0,3106.0,3107.0,65.81816864013672,-1,0,8357.953433507013,10000,-0.0055887763132650425,1.4342885178007665,0.2106818113543239,0.3515911639634724,0.17462836758575906
41,ETHUSDT@Binance(k),time@60,128,-0.22502476929555648,-18.33262897322171,3080.239990234375,3085.39990234375,3080.239990234375,3081.4599609375,407.9456043243408,-1,0,8331.419194046743,10000,-0.0031747292768952162,1.409041450964379,0.21501408970019256,0.3581081285377627,0.17999187857991653
42,ETHUSDT@Binance(k),time@60,128,-0.25844731836569546,-18.64622331158344,3098.75,3098.75,3096.5400390625,3096.550048828125,258.4576663970947,-1,0,8305.13613125915,10000,-0.003154692156933425,1.4352106580810504,0.20936455034517656,0.34927689610838386,0.17363225348449687
43,ETHUSDT@Binance(k),time@60,128,-0.2248261688811648,-17.508910129862297,3301.780029296875,3301.780029296875,3301.199951171875,3301.199951171875,49.281874895095825,-1,0,8400.4793022785,10000,0.011480025072738487,1.5469614608786333,0.218043355693477,0.36378581493478257,0.18109867561590648
44,ETHUSDT@Binance(k),time@60,128,-0.28735117972221724,-17.934813880762416,3433.800048828125,3433.800048828125,3431.39990234375,3431.409912109375,214.40816974639893,-1,0,8364.54317640826,10000,-0.004277866128482022,1.5874982478361326,0.21385650738271253,0.35764418627760197,0.174789428898267
45,ETHUSDT@Binance(k),time@60,128,-0.22842457247818082,-17.161190147781603,2340.25,2340.9599609375,2340.25,2340.25,100.45702505111694,-1,0,8429.899885635474,10000,0.00781354197698958,1.0489617263562958,0.20525779598209823,0.34031751350709083,0.18511946883009514
46,ETHUSDT@Binance(k),time@60,128,-0.21831600542080443,-17.345067264177263,2245.360107421875,2246.5,2245.360107421875,2246.5,194.53779077529907,-1,0,8414.391742316631,10000,-0.0018396592520940613,0.9955147581192745,0.20304568204113227,0.3361767715430735,0.1852337881151393
47,ETHUSDT@Binance(k),time@60,128,-0.241910357961983,-19.238904018629796,2377.60009765625,2378.77001953125,2377.60009765625,2378.77001953125,315.85205268859863,-1,0,8255.383383783676,10000,-0.018897189886381338,1.0537331853319634,0.19382720608562765,0.3215239190102503,0.17109647088302113
48,ETHUSDT@Binance(k),time@60,128,-0.17717672633459358,-17.97676364625979,3646.5366123046874,3649.8701171875,3644.110107421875,3649.8701171875,375.078800201416,-1,0,8361.135693966007,10000,0.012810102846351645,1.7382693698814542,0.2212755805593294,0.369597519117867,0.18066669582209816
49,ETHUSDT@Binance(k),time@60,128,-0.25788662954936425,-18.27772768455546,3479.181704345703,3480.919921875,3471.949951171875,3475.889892578125,966.7219333648682,-1,0,8335.913012310455,10000,-0.0030166573751166936,1.6421472919502569,0.2143131957814817,0.35820553541616135,0.17315803449289544
